,시도별,date,최대풍속(m/s),평균기온(℃),평균강수량(mm),평균상대습도(%),사고건수,사망자수,부상자수,총인구수,시도별인구수,자동차수,교통사고사망률,사고율,year,month
0,강원,2016-01-01,8.8,-3.10769,0.23153833333333335,52.84615,662,20,1101,51453200,1550800,722300,0.030211480362537766,42.68764508640702,2016,1
1,강원,2016-02-01,8.06923,-0.42308,1.5571793333333335,56.84615,612,14,1075,51453200,1550800,722300,0.02287581699346405,39.4635027082796,2016,2
2,강원,2016-03-01,8.16154,5.81538,1.1179486666666667,56.38462,663,13,1037,51453200,1550800,722300,0.0196078431372549,42.75212793396956,2016,3
3,강원,2016-04-01,9.80769,12.86154,2.787692333333333,57.30769,734,12,1221,51453200,1550800,722300,0.01634877384196185,47.3304101109105,2016,4
4,강원,2016-05-01,10.0,17.65385,2.260256333333333,58.46154,754,14,1276,51453200,1550800,722300,0.01856763925729443,48.62006706216147,2016,5
5,강원,2016-06-01,6.0,21.37692,1.6866666666666668,69.76923,707,23,1186,51453200,1550800,722300,0.03253182461103253,45.58937322672169,2016,6
6,강원,2016-07-01,6.20769,23.60769,14.561795,81.46154,799,35,1405,51453200,1550800,722300,0.04380475594493116,51.52179520247614,2016,7
7,강원,2016-08-01,8.12308,24.91538,4.465897333333333,76.46154,845,19,1476,51453200,1550800,722300,0.022485207100591716,54.48800619035337,2016,8
8,강원,2016-09-01,7.13846,19.87692,2.8133333333333335,80.76923,701,15,1165,51453200,1550800,722300,0.021398002853067047,45.2024761413464,2016,9
9,강원,2016-10-01,6.76429,13.98571,3.274762,75.92857,829,21,1380,51453200,1550800,722300,0.025331724969843185,53.45628062935259,2016,10
10,강원,2016-11-01,6.77857,6.12143,0.7164286666666667,66.0,795,11,1271,51453200,1550800,722300,0.013836477987421384,51.26386381222595,2016,11
11,강원,2016-12-01,7.95714,1.24286,2.2800000000000002,65.42857,740,22,1266,51453200,1550800,722300,0.02972972972972973,47.71730719628579,2016,12
12,강원,2017-01-01,7.90714,-2.02143,0.8630953333333333,58.35714,718,26,1237,51499300,1550100,746000,0.036211699164345405,46.31959228436875,2017,1
13,강원,2017-02-01,7.82143,-0.05714,0.36857133333333336,54.35714,499,4,820,51499300,1550100,746000,0.008016032064128256,32.19147151796658,2017,2
14,강원,2017-03-01,7.56429,4.95714,0.8769046666666667,56.14286,618,13,975,51499300,1550100,746000,0.021035598705501618,39.868395587381464,2017,3
15,강원,2017-04-01,8.63571,13.12857,1.7680953333333334,53.0,677,14,1080,51499300,1550100,746000,0.0206794682422452,43.67460163860396,2017,4
16,강원,2017-05-01,9.17143,18.11429,0.8416666666666667,55.85714,750,27,1208,51499300,1550100,746000,0.036,48.38397522740468,2017,5
17,강원,2017-06-01,7.35,20.60714,2.151428666666667,65.35714,680,16,1102,51499300,1550100,746000,0.023529411764705882,43.868137539513576,2017,6
18,강원,2017-07-01,6.42143,25.19286,13.448333333333332,80.42857,748,28,1219,51499300,1550100,746000,0.0374331550802139,48.254951293464934,2017,7
19,강원,2017-08-01,6.48571,23.36429,11.608095333333333,81.57143,780,26,1366,51499300,1550100,746000,0.03333333333333333,50.31933423650087,2017,8
20,강원,2017-09-01,6.6,18.98571,1.409762,73.85714,750,25,1161,51499300,1550100,746000,0.03333333333333333,48.38397522740468,2017,9
21,강원,2017-10-01,6.91429,13.40714,2.007619,74.57143,706,24,1192,51499300,1550100,746000,0.0339943342776204,45.545448680730274,2017,10
22,강원,2017-11-01,8.12143,4.93571,0.9792856666666666,57.14286,746,18,1137,51499300,1550100,746000,0.024128686327077747,48.12592735952519,2017,11
23,강원,2017-12-01,7.65,-2.44286,0.5164286666666666,54.57143,644,15,1035,51499300,1550100,746000,0.023291925465838508,41.545706728598155,2017,12
24,강원,2018-01-01,8.35714,-4.28571,0.18928566666666666,51.07143,588,13,937,51512000,1543000,766000,0.022108843537414966,38.10758263123785,2018,1
25,강원,2018-02-01,8.67143,-2.47143,1.1338096666666668,47.71429,522,9,913,51512000,1543000,766000,0.017241379310344827,33.8302009073234,2018,2
26,강원,2018-03-01,9.56429,6.85,2.0,60.42857,526,19,821,51512000,1543000,766000,0.03612167300380228,34.08943616331821,2018,3
27,강원,2018-04-01,9.89286,12.02143,4.455952333333333,57.35714,593,19,901,51512000,1543000,766000,0.03204047217537943,38.431626701231366,2018,4
28,강원,2018-05-01,8.73571,16.28571,5.835952333333334,69.64286,662,14,1025,51512000,1543000,766000,0.021148036253776436,42.90343486714193,2018,5
29,강원,2018-06-01,8.01429,21.41429,2.642143,66.85714,635,13,983,51512000,1543000,766000,0.02047244094488189,41.153596889176924,2018,6
30,강원,2018-07-01,6.75,25.22143,7.2404763333333335,77.28571,663,14,1089,51512000,1543000,766000,0.021116138763197588,42.968243681140635,2018,7
31,강원,2018-08-01,8.17857,25.51429,12.342143,77.64286,717,20,1208,51512000,1543000,766000,0.02789400278940028,46.46791963707064,2018,8
32,강원,2018-09-01,6.73571,18.52857,4.259285666666667,76.64286,683,20,1109,51512000,1543000,766000,0.029282576866764276,44.26441996111471,2018,9
33,강원,2018-10-01,9.04286,10.99286,5.389523666666666,71.5,678,21,1027,51512000,1543000,766000,0.030973451327433628,43.94037589112119,2018,10
34,강원,2018-11-01,8.07143,6.37857,2.1633333333333336,68.28571,654,14,1034,51512000,1543000,766000,0.021406727828746176,42.3849643551523,2018,11
35,강원,2018-12-01,7.49286,-1.37143,0.6802379999999999,55.5,577,21,875,51512000,1543000,766000,0.036395147313691506,37.394685677252106,2018,12
